date,visitor,home,visitor_points,home_points
2023-11-22,Washington Wizards,Charlotte Hornets, 114,117 
2023-11-22,Denver Nuggets,Orlando Magic, 119,124 
2023-11-22,Brooklyn Nets,Atlanta Hawks, 145,147 
2023-11-22,Milwaukee Bucks,Boston Celtics, 116,119 
2023-11-22,Miami Heat,Cleveland Cavaliers, 129,96 
2023-11-22,Toronto Raptors,Indiana Pacers, 132,131 
2023-11-22,Memphis Grizzlies,Houston Rockets, 91,111 
2023-11-22,Philadelphia 76ers,Minnesota Timberwolves, 99,112 
2023-11-22,Sacramento Kings,New Orleans Pelicans, 112,117 
2023-11-22,Chicago Bulls,Oklahoma City Thunder, 102,116 
2023-11-22,LA Clippers,San Antonio Spurs, 109,102 
2023-11-22,Golden State Warriors,Phoenix Suns, 115,123 
2023-11-22,Utah Jazz,Portland Trail Blazers, 105,121 
2023-11-22,Dallas Mavericks,Los Angeles Lakers, 104,101 
2023-11-24,Boston Celtics,Orlando Magic, 96,113 
2023-11-24,Phoenix Suns,Memphis Grizzlies, 110,89 
2023-11-24,Miami Heat,New York Knicks, 98,100 
2023-11-24,Chicago Bulls,Toronto Raptors, 108,121 
2023-11-24,Detroit Pistons,Indiana Pacers, 113,136 
2023-11-24,Denver Nuggets,Houston Rockets, 86,105 
2023-11-24,Washington Wizards,Milwaukee Bucks, 128,131 
2023-11-24,Sacramento Kings,Minnesota Timberwolves, 124,111 
2023-11-24,San Antonio Spurs,Golden State Warriors, 112,118 
2023-11-24,New Orleans Pelicans,LA Clippers, 116,106 
2023-11-25,Philadelphia 76ers,Oklahoma City Thunder, 127,123 
2023-11-25,Miami Heat,Brooklyn Nets, 97,112 
2023-11-25,Atlanta Hawks,Washington Wizards, 136,108 
2023-11-25,Los Angeles Lakers,Cleveland Cavaliers, 121,115 
2023-11-25,New Orleans Pelicans,Utah Jazz, 100,105 
2023-11-25,Dallas Mavericks,LA Clippers, 88,107 
2023-11-26,Portland Trail Blazers,Milwaukee Bucks, 102,108 
2023-11-26,Atlanta Hawks,Boston Celtics, 103,113 
2023-11-26,Phoenix Suns,New York Knicks, 116,113 
2023-11-26,Charlotte Hornets,Orlando Magic, 117,130 
2023-11-26,Minnesota Timberwolves,Memphis Grizzlies, 119,97 
2023-11-26,Chicago Bulls,Brooklyn Nets, 109,118 
2023-11-26,Toronto Raptors,Cleveland Cavaliers, 102,105 
2023-11-26,San Antonio Spurs,Denver Nuggets, 120,132 
2023-11-27,Washington Wizards,Detroit Pistons, 126,107 
2023-11-27,Portland Trail Blazers,Indiana Pacers, 114,110 
2023-11-27,Los Angeles Lakers,Philadelphia 76ers, 94,138 
2023-11-27,New Orleans Pelicans,Utah Jazz, 112,114 
2023-11-27,Denver Nuggets,LA Clippers, 113,104 
2023-11-28,Chicago Bulls,Boston Celtics, 97,124 
2023-11-28,Toronto Raptors,Brooklyn Nets, 103,115 
2023-11-28,Atlanta Hawks,Cleveland Cavaliers, 105,128 
2023-11-28,Milwaukee Bucks,Miami Heat, 131,124 
2023-11-28,Charlotte Hornets,New York Knicks, 91,115 
2023-11-28,Oklahoma City Thunder,Minnesota Timberwolves, 103,106 
2023-11-28,Houston Rockets,Dallas Mavericks, 115,121 
2023-11-28,Golden State Warriors,Sacramento Kings, 123,124 
2023-11-29,Los Angeles Lakers,Detroit Pistons, 133,107 
2023-11-29,Washington Wizards,Orlando Magic, 120,139 
2023-11-29,Phoenix Suns,Toronto Raptors, 105,112 
2023-11-29,Utah Jazz,Memphis Grizzlies, 91,105 
2023-11-29,Philadelphia 76ers,New Orleans Pelicans, 114,124 
2023-11-29,Houston Rockets,Denver Nuggets, 124,134 
2023-11-29,LA Clippers,Sacramento Kings, 131,117 
2023-11-30,Portland Trail Blazers,Cleveland Cavaliers, 103,95 
2023-11-30,Charlotte Hornets,Brooklyn Nets, 129,128 
2023-11-30,Indiana Pacers,Miami Heat, 132,142 
2023-11-30,Detroit Pistons,New York Knicks, 112,118 
2023-11-30,Milwaukee Bucks,Chicago Bulls, 113,120 
2023-11-30,Utah Jazz,Minnesota Timberwolves, 90,101 
2023-11-30,Los Angeles Lakers,Oklahoma City Thunder, 110,133 
2023-11-30,Atlanta Hawks,San Antonio Spurs, 137,135 
2023-11-30,LA Clippers,Golden State Warriors, 114,120 
2023-12-01,Washington Wizards,Orlando Magic, 125,130 
2023-12-01,Philadelphia 76ers,Boston Celtics, 119,125 
2023-12-01,New York Knicks,Toronto Raptors, 119,106 
2023-12-01,Memphis Grizzlies,Dallas Mavericks, 108,94 
2023-12-01,San Antonio Spurs,New Orleans Pelicans, 106,121 
2023-12-01,Denver Nuggets,Phoenix Suns, 119,111 
2023-12-02,Golden State Warriors,LA Clippers, 112,113 
2023-12-02,Minnesota Timberwolves,Charlotte Hornets, 123,117 
2023-12-02,Orlando Magic,Brooklyn Nets, 101,129 
2023-12-02,Cleveland Cavaliers,Detroit Pistons, 110,101 
2023-12-02,Indiana Pacers,Miami Heat, 144,129 
2023-12-02,New Orleans Pelicans,Chicago Bulls, 118,124 
2023-12-02,Atlanta Hawks,Milwaukee Bucks, 121,132 
2023-12-02,Oklahoma City Thunder,Dallas Mavericks, 126,120 
2023-12-02,Memphis Grizzlies,Phoenix Suns, 109,116 
2023-12-02,Portland Trail Blazers,Utah Jazz, 113,118 
2023-12-02,Denver Nuggets,Sacramento Kings, 117,123 
2023-12-02,Houston Rockets,Los Angeles Lakers, 97,107 
2023-12-04,Boston Celtics,Indiana Pacers, 112,122 
2023-12-04,New Orleans Pelicans,Sacramento Kings, 127,117 
2023-12-05,New York Knicks,Milwaukee Bucks, 122,146 
2023-12-05,Phoenix Suns,Los Angeles Lakers, 103,106 
2023-12-06,Orlando Magic,Cleveland Cavaliers, 111,121 
2023-12-06,Memphis Grizzlies,Detroit Pistons, 116,102 
2023-12-06,Philadelphia 76ers,Washington Wizards, 131,126 
2023-12-06,Miami Heat,Toronto Raptors, 112,103 
2023-12-06,Brooklyn Nets,Atlanta Hawks, 114,113 
2023-12-06,San Antonio Spurs,Minnesota Timberwolves, 94,102 
2023-12-06,Charlotte Hornets,Chicago Bulls, 100,111 
2023-12-06,Oklahoma City Thunder,Houston Rockets, 101,110 
2023-12-06,Utah Jazz,Dallas Mavericks, 97,147 
2023-12-06,Portland Trail Blazers,Golden State Warriors, 106,110 
2023-12-06,Denver Nuggets,LA Clippers, 102,111 
2023-12-07,Indiana Pacers,Milwaukee Bucks, 128,119 
2023-12-07,New Orleans Pelicans,Los Angeles Lakers, 89,133 
2023-12-08,Toronto Raptors,Charlotte Hornets, 116,119 
2023-12-08,Detroit Pistons,Orlando Magic, 91,123 
2023-12-08,Atlanta Hawks,Philadelphia 76ers, 114,125 
2023-12-08,Washington Wizards,Brooklyn Nets, 97,124 
2023-12-08,New York Knicks,Boston Celtics, 123,133 
2023-12-08,Cleveland Cavaliers,Miami Heat, 111,99 
2023-12-08,Minnesota Timberwolves,Memphis Grizzlies, 127,103 
2023-12-08,Golden State Warriors,Oklahoma City Thunder, 136,138 
2023-12-08,Chicago Bulls,San Antonio Spurs, 121,112 
