date,visitor,home,visitor_points,home_points
2015-11-10,Oklahoma City Thunder,Washington Wizards,125.0,101.0
2015-11-10,Charlotte Hornets,Minnesota Timberwolves,104.0,95.0
2015-11-10,Boston Celtics,Milwaukee Bucks,99.0,83.0
2015-11-10,New York Knicks,Toronto Raptors,111.0,109.0
2015-11-10,Utah Jazz,Cleveland Cavaliers,114.0,118.0
2015-11-11,San Antonio Spurs,Portland Trail Blazers,113.0,101.0
2015-11-11,Brooklyn Nets,Houston Rockets,106.0,98.0
2015-11-11,New York Knicks,Charlotte Hornets,93.0,95.0
2015-11-11,Indiana Pacers,Boston Celtics,102.0,91.0
2015-11-11,New Orleans Pelicans,Atlanta Hawks,98.0,106.0
2015-11-11,LA Clippers,Dallas Mavericks,108.0,118.0
2015-11-11,Los Angeles Lakers,Orlando Magic,99.0,101.0
2015-11-11,Detroit Pistons,Sacramento Kings,92.0,101.0
2015-11-11,Milwaukee Bucks,Denver Nuggets,102.0,103.0
2015-11-11,Golden State Warriors,Memphis Grizzlies,100.0,84.0
2015-11-11,Toronto Raptors,Philadelphia 76ers,119.0,103.0
2015-11-12,Utah Jazz,Miami Heat,91.0,92.0
2015-11-12,Golden State Warriors,Minnesota Timberwolves,129.0,116.0
2015-11-12,LA Clippers,Phoenix Suns,104.0,118.0
2015-11-13,Atlanta Hawks,Boston Celtics,93.0,106.0
2015-11-13,Utah Jazz,Orlando Magic,93.0,102.0
2015-11-13,Portland Trail Blazers,Memphis Grizzlies,100.0,101.0
2015-11-13,Los Angeles Lakers,Dallas Mavericks,82.0,90.0
2015-11-13,Houston Rockets,Denver Nuggets,98.0,107.0
2015-11-13,Charlotte Hornets,Chicago Bulls,97.0,102.0
2015-11-13,Minnesota Timberwolves,Indiana Pacers,103.0,107.0
2015-11-13,Brooklyn Nets,Sacramento Kings,109.0,111.0
2015-11-13,Cleveland Cavaliers,New York Knicks,90.0,84.0
2015-11-13,Philadelphia 76ers,Oklahoma City Thunder,85.0,102.0
2015-11-13,New Orleans Pelicans,Toronto Raptors,81.0,100.0
2015-11-14,Brooklyn Nets,Golden State Warriors,99.0,107.0
2015-11-14,Philadelphia 76ers,San Antonio Spurs,83.0,92.0
2015-11-14,Detroit Pistons,LA Clippers,96.0,101.0
2015-11-14,Dallas Mavericks,Houston Rockets,110.0,98.0
2015-11-14,Orlando Magic,Washington Wizards,99.0,108.0
2015-11-14,Cleveland Cavaliers,Milwaukee Bucks,105.0,108.0
2015-11-14,Denver Nuggets,Phoenix Suns,81.0,105.0
2015-11-15,Toronto Raptors,Sacramento Kings,101.0,107.0
2015-11-15,New Orleans Pelicans,New York Knicks,87.0,95.0
2015-11-15,Portland Trail Blazers,Charlotte Hornets,94.0,106.0
2015-11-15,Utah Jazz,Atlanta Hawks,97.0,96.0
2015-11-15,Memphis Grizzlies,Minnesota Timberwolves,114.0,106.0
2015-11-15,Boston Celtics,Oklahoma City Thunder,100.0,85.0
2015-11-15,Detroit Pistons,Los Angeles Lakers,85.0,97.0
2015-11-16,Dallas Mavericks,Philadelphia 76ers,92.0,86.0
2015-11-16,Portland Trail Blazers,San Antonio Spurs,80.0,93.0
2015-11-16,Los Angeles Lakers,Phoenix Suns,101.0,120.0
2015-11-16,Boston Celtics,Houston Rockets,111.0,95.0
2015-11-16,Indiana Pacers,Chicago Bulls,95.0,96.0
2015-11-16,Oklahoma City Thunder,Memphis Grizzlies,114.0,122.0
2015-11-17,Denver Nuggets,New Orleans Pelicans,115.0,98.0
2015-11-17,Toronto Raptors,Golden State Warriors,110.0,115.0
2015-11-17,Minnesota Timberwolves,Miami Heat,103.0,91.0
2015-11-17,Milwaukee Bucks,Washington Wizards,86.0,115.0
2015-11-17,Charlotte Hornets,New York Knicks,94.0,102.0
2015-11-17,Atlanta Hawks,Brooklyn Nets,88.0,90.0
2015-11-17,Cleveland Cavaliers,Detroit Pistons,99.0,104.0
2015-11-18,Dallas Mavericks,Boston Celtics,106.0,102.0
2015-11-18,Portland Trail Blazers,Houston Rockets,103.0,108.0
2015-11-18,Chicago Bulls,Phoenix Suns,103.0,97.0
2015-11-18,Denver Nuggets,San Antonio Spurs,98.0,109.0
2015-11-18,Minnesota Timberwolves,Orlando Magic,101.0,104.0
2015-11-18,Brooklyn Nets,Charlotte Hornets,111.0,116.0
2015-11-18,Toronto Raptors,Utah Jazz,89.0,93.0
2015-11-18,New Orleans Pelicans,Oklahoma City Thunder,103.0,110.0
2015-11-18,Indiana Pacers,Philadelphia 76ers,112.0,85.0
2015-11-18,Sacramento Kings,Atlanta Hawks,97.0,103.0
2015-11-19,Sacramento Kings,Miami Heat,109.0,116.0
2015-11-19,Milwaukee Bucks,Cleveland Cavaliers,100.0,115.0
2015-11-19,Golden State Warriors,LA Clippers,124.0,117.0
2015-11-20,Utah Jazz,Dallas Mavericks,93.0,102.0
2015-11-20,LA Clippers,Portland Trail Blazers,91.0,102.0
2015-11-20,Houston Rockets,Memphis Grizzlies,84.0,96.0
2015-11-20,Detroit Pistons,Minnesota Timberwolves,96.0,86.0
2015-11-20,San Antonio Spurs,New Orleans Pelicans,90.0,104.0
2015-11-20,Philadelphia 76ers,Charlotte Hornets,88.0,113.0
2015-11-20,New York Knicks,Oklahoma City Thunder,93.0,90.0
2015-11-20,Chicago Bulls,Golden State Warriors,94.0,106.0
2015-11-20,Phoenix Suns,Denver Nuggets,114.0,107.0
2015-11-20,Brooklyn Nets,Boston Celtics,95.0,120.0
2015-11-20,Toronto Raptors,Los Angeles Lakers,102.0,91.0
2015-11-21,New York Knicks,Houston Rockets,107.0,102.0
2015-11-21,Philadelphia 76ers,Miami Heat,91.0,96.0
2015-11-21,Atlanta Hawks,Cleveland Cavaliers,97.0,109.0
2015-11-21,Memphis Grizzlies,San Antonio Spurs,82.0,92.0
2015-11-21,Milwaukee Bucks,Indiana Pacers,86.0,123.0
2015-11-21,Washington Wizards,Detroit Pistons,97.0,95.0
2015-11-21,Sacramento Kings,Orlando Magic,97.0,91.0
2015-11-22,Portland Trail Blazers,Los Angeles Lakers,107.0,93.0
2015-11-22,Dallas Mavericks,Oklahoma City Thunder,114.0,117.0
2015-11-22,Golden State Warriors,Denver Nuggets,118.0,105.0
2015-11-22,Phoenix Suns,New Orleans Pelicans,116.0,122.0
2015-11-22,Toronto Raptors,LA Clippers,91.0,80.0
2015-11-22,Boston Celtics,Brooklyn Nets,101.0,111.0
2015-11-23,New York Knicks,Miami Heat,78.0,95.0
2015-11-23,Philadelphia 76ers,Minnesota Timberwolves,95.0,100.0
2015-11-23,Oklahoma City Thunder,Utah Jazz,111.0,89.0
2015-11-23,Orlando Magic,Cleveland Cavaliers,103.0,117.0
2015-11-23,Phoenix Suns,San Antonio Spurs,84.0,98.0
2015-11-23,Detroit Pistons,Milwaukee Bucks,88.0,109.0
