home_team,visitor_team,home_points,visitor_ORtg,home_ORtg,visitor_DRtg,home_DRtg,visitor_ts%,home_ts%,home_win
Denver Nuggets,Atlanta Hawks,97.0,112.33660130718954,95.28487229862476,99.06045751633987,108.05500982318273,0.6255686988171064,0.4672447013487476,0
Golden State Warriors,LA Clippers,106.0,114.34321258690086,103.47520499804763,96.96304427369192,122.02264740335806,0.5878480060195637,0.5860238832375055,0
Philadelphia 76ers,Boston Celtics,103.0,109.23725565350708,97.24320241691842,98.69681870448449,107.62839879154077,0.585456039441249,0.5727313167259787,0
Toronto Raptors,Cleveland Cavaliers,133.0,96.86888454011742,129.47819314641745,130.13698630136986,96.37850467289721,0.4843444227005871,0.5952380952380952,1
Sacramento Kings,LA Clippers,115.0,113.93596986817325,112.3924941360438,108.28625235404897,118.25645035183739,0.6224279835390947,0.5908343608713523,0
Los Angeles Lakers,San Antonio Spurs,93.0,84.72803347280336,96.71381031613977,97.28033472803348,84.23460898502496,0.49031476997578693,0.4991412623443538,1
Charlotte Hornets,Utah Jazz,99.0,94.50171821305841,102.1039603960396,106.31443298969072,90.75907590759074,0.505050505050505,0.532487091222031,1
Indiana Pacers,Cleveland Cavaliers,97.0,99.62248322147651,98.69759869759869,101.71979865771812,96.66259666259666,0.5087832047986289,0.5372175454142667,1
Washington Wizards,Orlando Magic,125.0,123.13741721854305,124.55161418891988,129.34602649006624,118.57313670785175,0.6354122170012815,0.6046826625386997,1
Atlanta Hawks,Brooklyn Nets,105.0,110.61946902654867,103.50946372239748,105.59131134352373,108.4384858044164,0.5587159691182446,0.5741469816272966,0
Minnesota Timberwolves,New York Knicks,118.0,114.9425287356322,120.35903712770298,125.58535547041294,110.15911872705017,0.6209751609935603,0.578204625637005,1
New Orleans Pelicans,Portland Trail Blazers,119.0,108.48694316436251,117.68196202531644,114.24731182795699,111.74841772151898,0.5272489734975737,0.6458966565349544,1
Milwaukee Bucks,Golden State Warriors,94.0,122.83894449499545,99.70301230377598,106.91537761601455,114.55239711497667,0.621260929590428,0.5206025697828977,0
Denver Nuggets,Memphis Grizzlies,87.0,87.48317631224765,101.06877323420073,97.57738896366084,90.61338289962826,0.468975468975469,0.5173644148430067,1
Phoenix Suns,Houston Rockets,95.0,111.24354390147,95.99838318512532,94.35836313071115,113.17704122877932,0.5401234567901234,0.5657455931395903,0
Dallas Mavericks,Los Angeles Lakers,101.0,101.01963746223565,94.99623777276149,95.35498489425981,100.63957863054928,0.5198212203653323,0.4935496481626271,0
LA Clippers,Sacramento Kings,126.0,104.29082240762813,121.80974477958237,125.14898688915375,101.50812064965197,0.5544993662864385,0.6742294520547946,1
Charlotte Hornets,Oklahoma City Thunder,91.0,105.42797494780794,92.74357929066448,94.98956158663884,102.93518141051771,0.4773156899810964,0.4886168384879725,0
Washington Wizards,Brooklyn Nets,119.0,102.9143897996357,106.136282554406,108.37887067395265,100.78487334998216,0.5241187384044527,0.5769976726144298,1
Toronto Raptors,Golden State Warriors,125.0,131.85215946843854,121.26503686457121,129.77574750830564,123.20527745440435,0.6804543506215174,0.5836757564437803,0
Chicago Bulls,Detroit Pistons,107.0,108.06916426512969,108.12449474535167,110.12762453684644,106.10347615198062,0.534841075794621,0.5881706244503079,1
San Antonio Spurs,Denver Nuggets,112.0,84.67400508044031,116.76396997497915,118.54360711261643,83.40283569641367,0.4420866489832007,0.6442705936493327,1
Miami Heat,Milwaukee Bucks,97.0,80.71107478545157,102.32067510548524,99.10093992644055,83.33333333333334,0.43463908450704225,0.5719339622641509,1
New York Knicks,New Orleans Pelicans,118.0,105.1641586867305,100.92370851864523,100.8891928864569,105.20013684570645,0.5592942888323026,0.5623332062523828,0
Phoenix Suns,Indiana Pacers,97.0,130.20833333333334,103.67678495083368,105.25173611111111,128.25994014536127,0.637213254035684,0.507534533277522,0
Minnesota Timberwolves,Portland Trail Blazers,120.0,107.87599497276916,121.80267965895251,125.68077084206115,104.54730004060089,0.595513413506013,0.6347862886161659,1
Detroit Pistons,Charlotte Hornets,107.0,112.89705319556067,103.04314329738058,102.37275162648298,113.63636363636363,0.5988631749898498,0.5889476001761338,0
Philadelphia 76ers,Toronto Raptors,117.0,99.82014388489209,107.61589403973511,105.21582733812949,102.09713024282561,0.5129390018484288,0.5986492018010643,1
Washington Wizards,Milwaukee Bucks,95.0,108.6048454469507,93.46713892168438,99.2063492063492,102.3219205037387,0.5546075085324231,0.5298973672467648,0
Atlanta Hawks,San Antonio Spurs,102.0,102.27272727272727,106.07321131447587,105.37190082644628,102.95341098169717,0.5167014613778705,0.5533854166666667,1
Brooklyn Nets,New York Knicks,104.0,119.86301369863013,101.12796577207313,104.75423045930701,115.71373006612214,0.6054131054131054,0.5056398288603656,0
Chicago Bulls,Miami Heat,119.0,106.15914307574599,119.3820224719101,113.81025248661057,111.35634028892456,0.5869289340101522,0.6091318591318591,1
Memphis Grizzlies,Los Angeles Lakers,123.0,103.03687635574836,112.88546255506606,111.1713665943601,104.62555066079295,0.5198832542867566,0.6342821782178217,1
Cleveland Cavaliers,Golden State Warriors,108.0,116.60079051383399,101.23734533183351,106.71936758893281,110.61117360329958,0.6008146639511202,0.5208333333333333,0
Oklahoma City Thunder,Sacramento Kings,95.0,86.27450980392157,96.19279060348319,93.13725490196079,89.10490076954231,0.4631578947368421,0.48096395301741596,1
Utah Jazz,Indiana Pacers,94.0,121.65178571428572,101.64359861591694,104.9107142857143,117.86332179930797,0.6519138755980862,0.5311934900542495,0
LA Clippers,Houston Rockets,113.0,101.9592163134746,111.00196463654224,112.95481807277088,100.19646365422396,0.504750593824228,0.643507972665148,1
Orlando Magic,Minnesota Timberwolves,108.0,103.65853658536585,108.69565217391303,109.75609756097559,102.65700483091787,0.498046875,0.5490036600244002,1
Boston Celtics,New Orleans Pelicans,113.0,102.65486725663717,99.08803928446159,100.0,101.71869519466854,0.5225225225225225,0.5229544613106256,0
Denver Nuggets,Dallas Mavericks,105.0,103.36441021483583,104.54002389486261,106.4045399270369,101.5531660692951,0.5816605839416058,0.5387931034482759,1
Portland Trail Blazers,Phoenix Suns,118.0,111.35634028892456,123.68972746331237,118.37881219903691,116.35220125786164,0.5624239967571949,0.6184486373165619,1
Charlotte Hornets,Washington Wizards,133.0,107.79272151898734,126.13808801213962,131.5268987341772,103.37632776934751,0.5916196265740339,0.607638888888889,1
Brooklyn Nets,San Antonio Spurs,95.0,102.4170421958214,96.03720177921554,97.29619008603031,101.09179134654266,0.5227938101212881,0.5224373075230972,0
Atlanta Hawks,New Orleans Pelicans,94.0,101.79509632224169,101.38050043140639,102.88966725043782,100.30198446937015,0.5262562245359892,0.49619932432432434,1
Toronto Raptors,Detroit Pistons,96.0,93.23770491803279,97.83938035059111,98.36065573770493,92.74357929066448,0.4809725158562368,0.5326231691078561,1
Chicago Bulls,Golden State Warriors,112.0,113.33333333333333,103.01692420897719,106.66666666666667,109.45548197203827,0.6263157894736842,0.5012531328320802,0
Milwaukee Bucks,Miami Heat,101.0,107.20064724919094,107.35544217687074,102.14401294498383,112.67006802721089,0.5645504899872178,0.5606127886323269,0
Memphis Grizzlies,New York Knicks,105.0,105.18487037824053,111.13463166807789,111.55971100722482,104.78408128704488,0.5373425966131133,0.5331031681559707,1
Oklahoma City Thunder,Los Angeles Lakers,114.0,97.02457956015523,119.64735516372795,122.89780077619663,94.45843828715365,0.5437409376510391,0.5684084563222975,1
Sacramento Kings,Utah Jazz,105.0,127.93176972281451,114.37908496732025,111.9402985074627,130.718954248366,0.6681514476614699,0.6497524752475248,0
LA Clippers,Denver Nuggets,109.0,100.07698229407237,105.17174835970668,104.88837567359508,100.34735623311464,0.49561570720548986,0.5415341812400636,1
Boston Celtics,Philadelphia 76ers,80.0,94.19983065198984,82.06811653672548,84.67400508044031,91.3007796471071,0.5529324055666004,0.49091801669121254,0
Cleveland Cavaliers,Orlando Magic,104.0,100.7433489827856,101.0886469673406,101.72143974960876,100.11664074650078,0.5296174413821473,0.5367464905037159,1
Houston Rockets,Minnesota Timberwolves,116.0,105.10510510510511,124.09071459135643,124.41012441012442,104.83525887890457,0.5429964539007093,0.6074570590699623,1
Portland Trail Blazers,Indiana Pacers,100.0,90.79391891891892,101.99918400652794,105.57432432432432,87.71929824561403,0.44458229942100913,0.49485352335708627,1
Toronto Raptors,San Antonio Spurs,86.0,87.55274261603377,90.37410676754939,90.71729957805907,87.22152164775116,0.41583166332665333,0.4716981132075472,1
Brooklyn Nets,Miami Heat,101.0,101.06382978723406,110.45494313210848,107.4468085106383,103.89326334208224,0.5,0.5775388838060385,1
Memphis Grizzlies,Sacramento Kings,106.0,89.86928104575163,109.14332784184512,108.2516339869281,90.60955518945633,0.5004549590536852,0.5401549123522218,1
