home_team,visitor_team,visitor_points,home_points,visitor_fgm,home_fgm,visitor_ORtg,home_ORtg,visitor_DRtg,home_DRtg,total_points
Washington Wizards,Orlando Magic,119.0,125.0,41.0,54.0,123.13741721854305,124.55161418891988,129.34602649006624,118.57313670785175,244.0
Atlanta Hawks,Brooklyn Nets,110.0,105.0,40.0,37.0,110.61946902654867,103.50946372239748,105.59131134352373,108.4384858044164,215.0
Minnesota Timberwolves,New York Knicks,108.0,118.0,45.0,49.0,114.9425287356322,120.35903712770298,125.58535547041294,110.15911872705017,226.0
New Orleans Pelicans,Portland Trail Blazers,113.0,119.0,45.0,45.0,108.48694316436251,117.68196202531644,114.24731182795699,111.74841772151898,232.0
Milwaukee Bucks,Golden State Warriors,108.0,94.0,44.0,36.0,122.83894449499545,99.70301230377598,106.91537761601455,114.55239711497667,202.0
Denver Nuggets,Memphis Grizzlies,78.0,87.0,30.0,27.0,87.48317631224765,101.06877323420073,97.57738896366084,90.61338289962826,165.0
Phoenix Suns,Houston Rockets,112.0,95.0,39.0,37.0,111.24354390147,95.99838318512532,94.35836313071115,113.17704122877932,207.0
Dallas Mavericks,Los Angeles Lakers,107.0,101.0,43.0,34.0,101.01963746223565,94.99623777276149,95.35498489425981,100.63957863054928,208.0
LA Clippers,Sacramento Kings,105.0,126.0,43.0,46.0,104.29082240762813,121.80974477958237,125.14898688915375,101.50812064965197,231.0
Charlotte Hornets,Oklahoma City Thunder,101.0,91.0,39.0,33.0,105.42797494780794,92.74357929066448,94.98956158663884,102.93518141051771,192.0
Washington Wizards,Brooklyn Nets,113.0,119.0,42.0,46.0,102.9143897996357,106.136282554406,108.37887067395265,100.78487334998216,232.0
Toronto Raptors,Golden State Warriors,127.0,125.0,47.0,45.0,131.85215946843854,121.26503686457121,129.77574750830564,123.20527745440435,252.0
Chicago Bulls,Detroit Pistons,105.0,107.0,41.0,42.0,108.06916426512969,108.12449474535167,110.12762453684644,106.10347615198062,212.0
San Antonio Spurs,Denver Nuggets,80.0,112.0,29.0,41.0,84.67400508044031,116.76396997497915,118.54360711261643,83.40283569641367,192.0
Miami Heat,Milwaukee Bucks,79.0,97.0,25.0,35.0,80.71107478545157,102.32067510548524,99.10093992644055,83.33333333333334,176.0
New York Knicks,New Orleans Pelicans,123.0,118.0,45.0,46.0,105.1641586867305,100.92370851864523,100.8891928864569,105.20013684570645,241.0
Phoenix Suns,Indiana Pacers,120.0,97.0,48.0,35.0,130.20833333333334,103.67678495083368,105.25173611111111,128.25994014536127,217.0
Minnesota Timberwolves,Portland Trail Blazers,103.0,120.0,39.0,43.0,107.87599497276916,121.80267965895251,125.68077084206115,104.54730004060089,223.0
Detroit Pistons,Charlotte Hornets,118.0,107.0,43.0,42.0,112.89705319556067,103.04314329738058,102.37275162648298,113.63636363636363,225.0
Philadelphia 76ers,Toronto Raptors,111.0,117.0,38.0,40.0,99.82014388489209,107.61589403973511,105.21582733812949,102.09713024282561,228.0
Washington Wizards,Milwaukee Bucks,104.0,95.0,38.0,32.0,108.6048454469507,93.46713892168438,99.2063492063492,102.3219205037387,199.0
Atlanta Hawks,San Antonio Spurs,99.0,102.0,37.0,40.0,102.27272727272727,106.07321131447587,105.37190082644628,102.95341098169717,201.0
Brooklyn Nets,New York Knicks,119.0,104.0,42.0,32.0,119.86301369863013,101.12796577207313,104.75423045930701,115.71373006612214,223.0
Chicago Bulls,Miami Heat,111.0,119.0,40.0,42.0,106.15914307574599,119.3820224719101,113.81025248661057,111.35634028892456,230.0
Memphis Grizzlies,Los Angeles Lakers,114.0,123.0,38.0,42.0,103.03687635574836,112.88546255506606,111.1713665943601,104.62555066079295,237.0
Cleveland Cavaliers,Golden State Warriors,118.0,108.0,41.0,43.0,116.60079051383399,101.23734533183351,106.71936758893281,110.61117360329958,226.0
Oklahoma City Thunder,Sacramento Kings,88.0,95.0,33.0,36.0,86.27450980392157,96.19279060348319,93.13725490196079,89.10490076954231,183.0
Utah Jazz,Indiana Pacers,109.0,94.0,41.0,36.0,121.65178571428572,101.64359861591694,104.9107142857143,117.86332179930797,203.0
LA Clippers,Houston Rockets,102.0,113.0,38.0,44.0,101.9592163134746,111.00196463654224,112.95481807277088,100.19646365422396,215.0
Orlando Magic,Minnesota Timberwolves,102.0,108.0,43.0,40.0,103.65853658536585,108.69565217391303,109.75609756097559,102.65700483091787,210.0
Boston Celtics,New Orleans Pelicans,116.0,113.0,45.0,40.0,102.65486725663717,99.08803928446159,100.0,101.71869519466854,229.0
Denver Nuggets,Dallas Mavericks,102.0,105.0,38.0,40.0,103.36441021483583,104.54002389486261,106.4045399270369,101.5531660692951,207.0
Portland Trail Blazers,Phoenix Suns,111.0,118.0,37.0,46.0,111.35634028892456,123.68972746331237,118.37881219903691,116.35220125786164,229.0
Charlotte Hornets,Washington Wizards,109.0,133.0,40.0,48.0,107.79272151898734,126.13808801213962,131.5268987341772,103.37632776934751,242.0
Brooklyn Nets,San Antonio Spurs,100.0,95.0,34.0,35.0,102.4170421958214,96.03720177921554,97.29619008603031,101.09179134654266,195.0
Atlanta Hawks,New Orleans Pelicans,93.0,94.0,35.0,37.0,101.79509632224169,101.38050043140639,102.88966725043782,100.30198446937015,187.0
Toronto Raptors,Detroit Pistons,91.0,96.0,37.0,34.0,93.23770491803279,97.83938035059111,98.36065573770493,92.74357929066448,187.0
Chicago Bulls,Golden State Warriors,119.0,112.0,42.0,45.0,113.33333333333333,103.01692420897719,106.66666666666667,109.45548197203827,231.0
Milwaukee Bucks,Miami Heat,106.0,101.0,38.0,33.0,107.20064724919094,107.35544217687074,102.14401294498383,112.67006802721089,207.0
Memphis Grizzlies,New York Knicks,99.0,105.0,35.0,41.0,105.18487037824053,111.13463166807789,111.55971100722482,104.78408128704488,204.0
Oklahoma City Thunder,Los Angeles Lakers,90.0,114.0,38.0,46.0,97.02457956015523,119.64735516372795,122.89780077619663,94.45843828715365,204.0
Sacramento Kings,Utah Jazz,120.0,105.0,46.0,38.0,127.93176972281451,114.37908496732025,111.9402985074627,130.718954248366,225.0
LA Clippers,Denver Nuggets,104.0,109.0,42.0,40.0,100.07698229407237,105.17174835970668,104.88837567359508,100.34735623311464,213.0
Boston Celtics,Philadelphia 76ers,89.0,80.0,34.0,30.0,94.19983065198984,82.06811653672548,84.67400508044031,91.3007796471071,169.0
Cleveland Cavaliers,Orlando Magic,103.0,104.0,41.0,38.0,100.7433489827856,101.0886469673406,101.72143974960876,100.11664074650078,207.0
Houston Rockets,Minnesota Timberwolves,98.0,116.0,38.0,42.0,105.10510510510511,124.09071459135643,124.41012441012442,104.83525887890457,214.0
Portland Trail Blazers,Indiana Pacers,86.0,100.0,36.0,37.0,90.79391891891892,101.99918400652794,105.57432432432432,87.71929824561403,186.0
Toronto Raptors,San Antonio Spurs,83.0,86.0,31.0,34.0,87.55274261603377,90.37410676754939,90.71729957805907,87.22152164775116,169.0
Brooklyn Nets,Miami Heat,95.0,101.0,35.0,36.0,101.06382978723406,110.45494313210848,107.4468085106383,103.89326334208224,196.0
Memphis Grizzlies,Sacramento Kings,88.0,106.0,32.0,39.0,89.86928104575163,109.14332784184512,108.2516339869281,90.60955518945633,194.0
Detroit Pistons,Washington Wizards,122.0,112.0,41.0,40.0,123.38187702265373,113.77488825680618,113.2686084142395,123.93336042259244,234.0
Denver Nuggets,Phoenix Suns,108.0,100.0,40.0,35.0,111.5702479338843,103.90689941812137,103.30578512396696,112.21945137157108,208.0
Los Angeles Lakers,Indiana Pacers,86.0,99.0,37.0,44.0,86.2414761331729,105.14018691588785,99.27797833935018,91.3338997451147,185.0
Utah Jazz,New York Knicks,117.0,115.0,44.0,42.0,112.3703419131771,108.28625235404897,110.44948136765271,110.16949152542372,232.0
Cleveland Cavaliers,Oklahoma City Thunder,148.0,124.0,58.0,46.0,135.38236370289061,109.85116938341602,113.42846688620565,131.11268603827074,272.0
Atlanta Hawks,Chicago Bulls,113.0,97.0,40.0,35.0,111.61596207032794,91.4059555220505,95.81193204267089,106.48322653599698,210.0
New Orleans Pelicans,Memphis Grizzlies,104.0,111.0,37.0,39.0,111.77987962166809,115.52872606161533,119.30352536543421,108.24313072439634,215.0
Charlotte Hornets,Miami Heat,106.0,105.0,43.0,41.0,107.85510785510786,106.88110749185668,106.83760683760684,107.89902280130295,211.0
Philadelphia 76ers,Milwaukee Bucks,94.0,116.0,33.0,45.0,93.36511720301947,117.93411956079707,115.21652761223677,95.56730378202522,210.0
Houston Rockets,Golden State Warriors,108.0,116.0,40.0,41.0,104.24710424710426,112.88439081354613,111.96911196911196,105.09926041261191,224.0
Minnesota Timberwolves,Toronto Raptors,109.0,115.0,39.0,38.0,112.0937885643768,120.44407205697527,118.26408885232415,114.16003351487223,224.0
Utah Jazz,LA Clippers,113.0,125.0,36.0,45.0,106.88611426409382,118.95698515416827,118.2368520620507,107.5371145793681,238.0
Portland Trail Blazers,Dallas Mavericks,108.0,117.0,38.0,45.0,115.73081868838406,122.64150943396226,125.37505357908275,113.20754716981132,225.0
Boston Celtics,Orlando Magic,103.0,95.0,43.0,37.0,107.246980424823,99.83186212694409,98.91711786755518,108.23875577973938,198.0
